nomor;sifat;jenis;hal;tgl;user;ruang
400.12.3.1/39.100/102.9/2023;Biasa;Lain-lain;Hasil Audit Kematian By. Ny. Amalia;09/10/2023;Dian;NULL
800.1.4.1/38.952/102.9/2023;Penting;Lain-lain;Mengikuti pendidikan Fellowship Nyeri melalui Program Bantuan Fellowship Kementerian Kesehatan Rl;06/10/2023;Dian;NULL
400.7.22/ 38.962 /102.9/2023;Biasa;Surat Keterangan;Surat Keterangan Rawat Inap;06/10/2023;Dian;NULL
RSSM/ND/TU/ 125 /2023;Penting;Nota Dinas;Pengosongan Sebagian Area Depan Sisi Utara Gedung Trauma Center dan Intensive Care Lantai 1;05/10/2023;Dian;NULL
700.1.2.7/38.811/102.9/2023;Penting;Lain-lain;Penyampaian Rekapitulasi Laporan Tindakan Gratifikasi dan Sponsorship Triwulan III Tahun 2023;05/10/2023;Dian;NULL
RSSM/ND/TU/124/2023;Penting;Nota Dinas;Pelaksanaan Kegiatan pada Minggu Ke2 (dua) bulan Oktober Tahun 2023 di RSUD dr. Soedono;04/10/2023;Dian;NULL
400.14.1.1/ 38.454 /102.9/2023;Biasa;Surat Tugas;Melaksanakan tugas sebagai Petugas Upacara Bendera dalam rangka memperingati Hari Jadi Provinsi Jawa Timur Ke78 Tahun 2023 di RSUD dr. Soedono;03/10/2023;Dian;NULL
100.3.7 / 38.439/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Klinik Dokter lndah dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Sistem Rujukan Pelayanan Kesehatan;03/10/2023;Dian;NULL
100.3.7/38.440/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara UPTD Puskesmas Takeran dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan Rujukan.;03/10/2023;Dian;NULL
RSSM/ND/TU/123/2023;Penting;Nota Dinas;Penggunaan Pakaian Dinas Harian Batik Pada Hari Batik Nasional di Lingkungan RSUD dr. Soedono;29/09/2023;Dian;NULL
RSSM/ND/TU/120/2023;Penting;Nota Dinas;Upacara Hari Kesaktian Pancasila Tahun 2023 dan Pengosongan Parkir Rawat Jalan RSUD dr. Soedono;27/09/2023;Dian;NULL
400.4/37.734/102.9/2023;Biasa;Lain-lain;Pertandingan Persahabatan;26/09/2023;Dian;NULL
RSSM/ND/TU/122/2023;Penting;Nota Dinas;Kegiatan Kampaye dan Promosi Hari Cuci Tangan Pakai Sabun Sedunia (Global Handwashing Day) Tahun 2023;26/09/2023;Dian;NULL
100.3.7 / 36.893/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Universitas Muhammadiyah Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Penyelenggaraan Tri Dharma Perguruan Tinggi;19/09/2023;Dian;NULL
100.3.7 / 36.767 / 102.9 / 2023;Biasa;Surat Pengntar;Surat Pengantar Kontrak Berlangganan antara RSUD dr. Soedono Provinsi Jawa Timur Dengan PT. Telkom Indonesia (Persero)Tbk;18/09/2023;Dian;NULL
400.7.22/36.058/102.9/2023;Penting;Surat Permohonan;Permohonan Salinan RM a.n Helmy Nur Rahma Ekowati;13/09/2023;Dian;NULL
100.3.7/ 36.153/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Rumah Sakit Paru Manguharjo Provinsi Jawa Timur dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Rujukan;13/09/2023;Dian;NULL
100.7.3/35.792/102.9/2023;Penting;Lain-lain;Perpanjangan Kerja Sama Pelayanan Tenaga Medis;12/09/2023;Dian;NULL
RSSM/ND/UMM/115/2023;Penting;Nota Dinas;Pelayanan Pendaftaran Kolega (Pegawai RS, anak, suami/istri, ayah/ibu) di Tempat Pendaftaran Pasien Rawat Jalan;12/09/2023;Dian;TU
442/34719/102.9/2023;Biasa;Lain-lain;Laporan pemakaian metadon Bulan Agustus 2023;04/09/2023;Dian;NULL
RSSM/ND/UMM/113/2023;Penting;Nota Dinas;Surat Keputusan Tim Kendali Mutu Kendali Biaya Madiun 2023;04/09/2023;Dian;TU
445/ 34.327 /102.9/2023;Penting;Lain-lain;Hasil Resume Medis a.n Irvan Ariyanto;01/09/2023;Dian;NULL
445/34.190/102.9/2023;Penting;Surat Balasan;Jawaban Penawaran Sertifikasi Halal;31/08/2023;Dian;NULL
445/33422/102.9/2023;Penting;Surat Permohonan;Permohonan Instrumen Pelayanan Klinik Eksekutif;24/08/2023;Dian;NULL
445/32982/102.9/2023;Penting;Surat Permohonan;Permohonan Rekomendasi Kolegium Ilmu Kesehatan Jantung dan Pembuluh Darah;21/08/2023;Dian;NULL
445/32.109/102.9/2023;Penting;Surat Permohonan;Permohonan Approve SEP RI;11/08/2023;Dian;NULL
RSSM/ND/UMM/102/2023;Penting;Nota Dinas;Sosialisasi Perubahan Kode Klasifikasi Arsip;11/08/2023;Dian;TU
445/31630/102.9/2023;Penting;Surat Balasan;Jawaban Permintaan Daftar Peserta dan Usulan Penerima Penghargaan;08/08/2023;Dian;NULL
442/31632/102.9/2023;Biasa;Surat Pengntar;Laporan pemakaian metadon Bulan Juli 2023;08/08/2023;Dian;NULL
800 / 30.903 / 102.9 / 2023;Penting;Surat Tugas;Sebagai Wakil Direktur Pelayanan Medik dan Keperawatan RSUD dr. Soedono juga merangkap sebagai (Plh) Direktur RSUD dr. Soedono;02/08/2023;Dian;NULL
445/29223/102.9/2023;Penting;Surat Permohonan;Permohonan Kerja Sama Pemakaian Ambulance;20/07/2023;Dian;TU
445/28643/102.9/2023;Penting;Lain-lain;Pemberitahuan Kerja Sama Rujukan Pelayanan dan Penunjang Medis;14/07/2023;Dian;TU
445/28244/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Program Pascasarjana Universitas Muhammadiyah Yogyakarta dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Penyelenggaraan Pelaksanaan Tri Dharma Perguruan Tinggi;12/07/2023;Dian;TU
028/28.139/102.9/2023;Segera;Surat Balasan;Surat Jawaban Permohonan Sewa Alat;11/07/2023;Dian;TU
445/28017/102.9/2023;Penting;Lain-lain;Penyampaian Rekapitulasi Laporan Tindakan Gratifikasi dan Sponsorship Triwulan II Tahun 2023;10/07/2023;Dian;TU
RSSM/ND/UMM/077/2023;Penting;Nota Dinas;Penambahan Penanggung Jawab Indikator Budaya CETTAR di RSUD dr. Soedono Privinsi Jawa Timur;07/07/2023;Dian;TU
445/27691/102.9/2023;Penting;Surat Balasan;Jawaban Permohonan Berjualan;07/07/2023;Dian;TU
445/27253/102.9/2023;Biasa;Surat Pengntar;Perjanjian Kerja Sama antara RSU Darmayu Ponorogo dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Tenaga Medis Spesialis Orthopedi;05/07/2023;Dian;TU
445/26850/102.9/2023;Penting;Surat Permohonan;Permohonan soft copy draft PKS;03/07/2023;Dian;TU
0;Penting;Lain-lain;PERLINDUNGAN JKK DAN JKM BAGI PESERTA DIDIK, PKL DAN MAGANG DI PEMPROV JATIM;27/06/2023;Dian;TU
445/26.064/102.9/2023;Penting;Surat Keterangan;Pengadaan taman di depan RSUD dr. Soedono Provinsi Jawa Timur tidak terdapat alokasi anggaran pada Dokumen Pelaksanaan Anggaran (DPA) APBD RSUD dr. Soedono Provinsi Jawa Timur tahun 2023;21/06/2023;Dian;NULL
-;Biasa;Lain-lain;Penawaran Kerja Sama PT Genta Mandiri Globalindo;20/06/2023;Dian;TU
RSSM/ND/UMM/070/2023;Penting;Nota Dinas;Tindak Lanjut Rekomendasi BPK dalam Laporan Hasil Pemeriksaan atas Laporan Keuangan Pemerintah Provinsi Jawa Timur TA 2022 (TP 8);14/06/2023;Dian;NULL
RSSM/ND/KAP/VI/20/2023;Penting;Nota Dinas;Tindak Lanjut Rekomendasi BPK dalam Laporan Hasil Pemeriksaan atas Laporan Keuangan Pemerintah Provinsi Jawa Timur TA 2022 (TP 11);14/06/2023;Dian;NULL
RSSM/ND/UMM/067/2023;Penting;Nota Dinas;Pelaksanaan Apel Pagi Offline dan Pengosongan Gedung Parkir Lantai 2;13/06/2023;Dian;TU
-;Biasa;Lain-lain;Perlindungan JKK dan JKM bagi peserta didik, PKL dan magang di Pemprov Jatim;07/06/2023;Dian;TU
442/23492/102.9/2023;Penting;Surat Pengntar;Laporan pemakaian metadon bulan Mei 2023;05/06/2023;Dian;TU
800/23255/102.9/2023;Penting;Surat Tugas;Sebagai (Plh) Direktur RSUD dr. Soedono terhitung mulai tanggal 5 Juni 2023 sampai dengan tanggal 7 Juli 2023;31/05/2023;Dian;NULL
800/23262/102.9/2023;Penting;Surat Tugas;Sebagai KPA UOBK RSUD dr. Soedono terhitung mulai tanggal 5 Juni sampai dengan 7 Juli 2023;31/05/2023;Dian;NULL
442/19496/102.9/2023;Biasa;Lain-lain;Laporan pemakaian metadon Bulan April 2023;04/05/2023;Dian;NULL
445/16284/102.9/2023;Penting;Surat Permohonan;Permohonan Bantuan Pendampingan Hukum;06/04/2023;Dian;TU
445/16285/102.9/2023;Penting;Lain-lain;Evaluasi Kelembagaan Tahun 2023;05/04/2023;Dian;TU
445/15854/102.9/2023;Biasa;Surat Keterangan;Surat Keterangan an. Edi Jauhari,S.Pd;04/04/2023;Dian;TU
445/15979/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT lntegritas Solusi Medika dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan;04/04/2023;Dian;NULL
0;Penting;Lain-lain;Permohonan presentasi kerja sama PT Grab Teknologi Indonesia;03/04/2023;Dian;NULL
445/15495/102.9/2023;Biasa;Surat Balasan;Jawaban Permohonan Riwayat Rawat lnap Pasien a.n Fransiska Suciani;31/03/2023;Dian;TU
RSSM/ND/UMM/030/2023;Penting;Nota Dinas;Perubahan Atas Keputusan Bersama (SKB) 3 Menteri tentang Hari Libur Nasional dan Cuti Bersama Tahun 2023;31/03/2023;Dian;TU
445/14947/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara UPT Rehabilitasi Sosial Bina Karya Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pemakaian Ambulance untuk Penjemputan dan Pemulangan Pasien dengan Gangguan Jiwa di RSUD dr. Soedono Provinsi Jawa Timur.;29/03/2023;Dian;NULL
445/14946/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Rumah Sakit lslam AtTin Husada Ngawi dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Rujukan.;29/03/2023;Dian;NULL
RSSM/ND/UMM/029/2023;Penting;Nota Dinas;Sosialisasi Pelaporan Gratifikasi/ Sponsorship di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur;24/03/2023;Dian;NULL
RSSM/ND/UMM/027/2023;Penting;Nota Dinas;Sosialisasi Jam Kerja Bagi Pegawai di Lingkungan RSUD dr. Soedono pada Bulan Ramadhan 1444 Hijriah;21/03/2023;Dian;TU
442/13943/102.9/2023;Biasa;Surat Pengntar;Laporan pemakaian metadon Bulan Februari 2023;17/03/2023;Dian;NULL
445/13846/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Swakarya Sinar Sejahtera dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pengelolaan Parkir di Lingkungan Instalasi Merpati RSUD dr. Soedono Provinsi Jawa Timur;17/03/2023;Dian;NULL
445/13845/102.9/2023;Segera;Lain-lain;Pemberitahuan Selisih Bayar;17/03/2023;Dian;NULL
445/13836/102.9/2023;Biasa;Surat Pengntar;Perjanjian Kerja Sama antara Balai Monitor Spektrum Frekuensi Radio Kelas I Surabaya dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pemanfaatan Lahan dan/atau Ruangan untuk Penempatan dan Pengoperasian Sistem Monitoring Frekuensi Radio Direktorat Jenderal Sumber Daya dan lnformatika Spektrum F Surabaya. Perangkat Pos dan rek Balai Monitor uensi Radio Kelas I Surabaya;16/03/2023;Dian;NULL
445/13582/102.9/2023;Penting;Lain-lain;Penyampaian Komitmen WTA;15/03/2023;Dian;TU
RSSM/ND/PEG/24/2023;Penting;Nota Dinas;Pemberitahuan Plh Wakil Direktur Umum, Perencanaan dan Keuangan di RSUD dr.Soedono Tgl 13 Maret 24Marel 2023;13/03/2023;Dian;UMUM
800/13136/102.9/2023;Penting;Surat Tugas;Terhitung mulai tanggal 13 Maret sampai dengan 24 Maret sebagai Pelaksana Harian (Plh.) Wakil Direktur Umum, Perencanaan dan Keuangan RSUD dr. Soedono;13/03/2023;Dian;NULL
445/2425/102.9/2023;Biasa;Lain-lain;Formulir Analisa Uji Kelayakan dan Dokumen Hukum RSUD dr. Soedono;09/03/2023;Dian;TU
RSSM/ND/UMM/025/2022;Penting;Nota Dinas;Penggunaan Pakaian Dinas Harian Batik RSUD dr. Soedono;08/03/2023;Dian;TU
RSSM/ND/UMM/026/2023;Penting;Nota Dinas;Efisiensi Perjalanan Dinas di Lingkungan RSUD dr. Soedono;08/03/2023;Dian;TU
445/12.078/102.9/2023;Penting;Lain-lain;Surat Pernyataan Dharma Wanita sudah tidak melakukan kegiatan usaha sejak tahun 2015;08/03/2023;Dian;TU
445/12.076/102.9/2023;Penting;Surat Permohonan;Layanan Kemoterapi di RSUD dr. Soedono Provinsi Jawa Timur;07/03/2023;Dian;TU
445/12068/102.9/2023;Penting;Surat Permohonan;Permohonan Narasumber Sosialisasi Zona Integritas;07/03/2023;Dian;TU
445/12069/102.9/2023;Penting;Surat Permohonan;Permohonan Narasumber Sosialisasi Zona Integritas;07/03/2023;Dian;TU
445/11668/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Asuransi Ramayana Tbk dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pemberian Pelayanan Kesehatan bagi Peserta PT Asuransi Ramayana Tbk;03/03/2023;Dian;TU
445/11409/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerjasama antara RSUD dr. Soedono Provinsi Jawa Timur dengan Forum Komunikasi Umat Beragama tentang Pelayanan Kerohanian Pasien;02/03/2023;Dian;TU
445/10907/102.9/2023;Penting;Lain-lain;Relokasi Kantor Kas dan Rumah ATM Bank Jatim di RSUD dr. Soedono Provinsi Jawa Timur;01/03/2023;Dian;TU
445/10.486/102.9/2023;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Saba lndomedika dengan RSUD dr. Soedono Madiun tentang Penggunaan Alal Pneumatic Tube Transport Sysfem merk Hunter lT di Laboratorium Terpadu RSUD dr. Soedono Madiun;28/02/2023;Dian;TU
445/10.684/102.9/2023;Penting;Surat Balasan;Penyampaian Konfirmasi dan Klarifikasi Keluhan;28/02/2023;Dian;TU
445/10.187/102.9/2023;Penting;Surat Pengntar;Perjanjian Kerjasama antara Koperasi Jasa lnstitut Riset Eijkman dengan Rumah Sakit Umum Daerah dr. Soedono tentang Surveilans dan Peningkatan Kapasitas Deteksi dan Pemantauan Resistensi Antimikroba Bakteri Penyebab lnfeksi lnvasif di lndonesia.;24/02/2023;Dian;TU
445/10.188/102.9/2023;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Laboratorium Sarana Medika dengan RSUD dr. Soedono Madiun tentang Rujukan Pemeriksaan Laboratorium (Penunjang Diagnostik).;24/02/2023;Dian;TU
445/10.190/102.9/2023;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT Prodia Widyahusada dengan RSUD dr. Soedono Madiun tentang Rujukan Parsial Pelayanan Pemeriksaan Penunjang Diagnostik.;24/02/2023;Dian;TU
445/9.794/102.9/2023;Penting;Lain-lain;Penyampaian Data PPID;23/02/2023;Dian;TU
RSSM/ND/UMM/022/2023;Penting;Nota Dinas;Rencana Tindak Lanjut Hasil Uji Kualitas Lingkungan;22/02/2023;Dian;NULL
RSSM/ND/UMM/021/2023;Penting;Nota Dinas;Penyampaian Rekomendasi lndikator Mutu Triwulan lV Tahun 2022;22/02/2023;Dian;NULL
RSSM/ND/UMM/021/2023;Penting;Nota Dinas;Penyampaian Rekomendasi lndikator Mutu Triwulan lV Tahun 2022;22/02/2023;Dian;TU
RSSM/ND/UMM/022/2023;Penting;Nota Dinas;Rencana Tindak Lanjut Hasil Uji Kualitas Lingkungan;22/02/2023;Dian;TU
RSSM/ND/UMM/019/2023;Penting;Nota Dinas;Rencana Tindak Lanjut Hasil Visitasi Instalasi Dialisis;15/02/2023;Dian;TU
445/8504/102.9/2023;Penting;Lain-lain;Penunjukan Nama Operator Sistem Informasi Pengadaan Barang/ Jasa Daerah;15/02/2023;Dian;TU
445/8326/102.9/2023;Penting;Lain-lain;Perpindahan Tempat Usaha;14/02/2023;Dian;TU
RSSM/ND/UMM/017/2023;Penting;Nota Dinas;Himbauan Parkir dan Larangan Parkir untuk Pegawai RSUD dr. Soedono Provinsi Jawa Timur;13/02/2023;Dian;TU
RSSM/ND/UMM/017/2023;Penting;Nota Dinas;Audit Medis dan Upaya Tindak Lanjut kepada dr. Mirza Thaariq Hapsito,Sp.JP;13/02/2023;Dian;TU
445/6880/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Berita Acara Negosiasi dan Perjanjian Kerja Sama antara PT Kereta Api lndonesia (Persero) Daerah Operasi 7 Madiun dengan RSUD dr. Soedono Madiun tentang Pelayanan Kesehatan llngkat Lanjut bagi Peserta Jaminan Kesehatan Perusahaan (JKP) PT Kerela Api lndonesia (Persero).;08/02/2023;Dian;NULL
800/6708/102.9/2023;Penting;Surat Tugas;Terhitung mulai tanggal 7 Februari 2023 s.d. 20 Februari 2023 disamping melaksanakan tugas sebagai Pejabat Pengadaan Bidang Penunjang, Pendidikan dan Pelatihan RSUD dr. Soedono yang menjadi kewenangannya juga merangkap sebagai Pelaksana Harian (Plh.) Pejabat Pengadaan Bidang Penunjang, Pendidikan dan Pelatihan RSUD dr. Soedono yang dikelola oleh Sdr. FlDl ESTI SUSANTI, S.Farm, Apt;06/02/2023;Dian;TU
445/6.881/102.9/2023;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT Graha Pusri Medika/ RS Pusri dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan Tambahan bagi Pensiunan dan lstri/ Suami Pensiunan PT Pusri.;06/02/2023;Dian;TU
442/6891/102.9/2023;Penting;Lain-lain;Laporan pemakaian metadon Bulan Januari 2023;06/02/2023;Dian;TU
445/6582/102.9/2023;Segera;Surat Permohonan;Permohonan Tanda Tangan Elektronik (TTE);03/02/2023;Dian;TU
445/6383/102.9/2023;Biasa;Surat Keterangan;Surat Keterangan HD an. Akhia Zaini,SH;02/02/2023;Dian;TU
445/6307/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Kesepakatan Bersama antara RSUD dr. Soedono Provinsi Jawa Timur dengan Kejaksaan Negeri Kota Madiun tentang Penanganan Permasalahan Hukum Bidang Perdata Dan Tata Usaha Negara;02/02/2023;Dian;TU
445/6.071/102.9/2023;Penting;Surat Balasan;Penayangan RUP melalui SIRUP;01/02/2023;Dian;NULL
445/5073/102.9/2023;Penting;Lain-lain;Hasil Resume Medis an. Dandi Miftakhul Rosikin;26/01/2023;Dian;TU
445/5074/102.9/2023;Biasa;Surat Pengntar;Addendum ll Nota KesePahaman antara PT Sinar Roda Utama dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Hemodialisa untuk Layanan Pasien di RSUD dr. Soedono Provinsi Jawa Timur.;26/01/2023;Dian;TU
RSSM/ND/UMM/011/2023;Penting;Nota Dinas;Penayangan Rencana Umum Pengadaan Melalui Sistem lnformasi Rencana Umum Pengadaan (SIRUP) Tahun Anggaran 2023;24/01/2023;Dian;TU
445/4492/102.9/2023;Penting;Surat Keterangan;Surat Keterangan Sakit an.Nanda Bagus Setyawan;24/01/2023;Dian;TU
445/4498/102.9/2023;Penting;Surat Permohonan;Permohonan Pemindahan/ Pergeseran Rambu Lalu Lintas;24/01/2023;Dian;TU
445/4509/102.9/2023;Penting;Surat Keterangan;Surat Keterangan an. Tn. Heri Susanto;24/01/2023;Dian;TU
445/4519/102.9/2023;Biasa;Surat Keterangan;Surat Keterangan Tindakan Sectio Caesaria an. Lina Minhatul Maula;24/01/2023;Dian;TU
RSSM/ND/UMM/010/2023;Penting;Nota Dinas;Penggunaan Gedung Parkir Pegawai Jalan Sumbawa;20/01/2023;Dian;TU
445/4129/102.9/2023;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT INKA Multi Solusi dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan bagi Pegawai PT INKA Multi Solusi dan Keluarganya di RSUD dr. Soedono Provinsi Jawa Timur.;19/01/2023;Dian;TU
445/2914/102.9/2023;Penting;Lain-lain;Penyampaian Teguran Terkait Portal Rawat Jalan di RSUD dr, Soedono Provinsi Jawa Timur;13/01/2023;Dian;TU
445/1672/102.9/2023;Penting;Lain-lain;Usulan Perubahan KPA UOBK RSUD dr. Soedono Prov. Jatim Tahun Anggaran 2023;09/01/2023;Dian;NULL
445/11499/102.9/2023;Biasa;Surat Pengntar;Perjanjian Kerja Sama antara Unit Donor Darah PMI Kota Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Transfusi Darah di Bank Darah RSUD dr. Soedono Provinsi Jawa Timur;09/01/2023;Dian;NULL
900/1698/102.9/2023;Biasa;Surat Tugas;Melaksanakan Tugas Dinas dalam rangka mendukung pelaksanaan pengelolaan barang dan anggaran di Lingkungan RSUD dr. Soedono Prov. Jatim Tahun Anggaran 2023;09/01/2023;Dian;TU
445/12701/102.9/2023;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Dexa Arfindo Pratama dengan RSUD dr. Soedono Madiun tentang Penggunaan Alat Kesehatan Kimia Klinik Analyzer lnstrumentation Laboratory Type Pentra C 400 di Laboratorium Terpadu RSUD dr. Soedono Madiun.;09/01/2023;Dian;TU
445/1437/102.99/2022;Penting;Lain-lain;Penyampaian Rekapitulasi Laporan Tindakan Gratifikasi Triwulan lV Tahun 2022;06/01/2023;Dian;NULL
445/123/102.9/2023;Biasa;Surat Pengntar;Perjanjian Kerja Sama antara Fakultas llmu Kesehatan Universitas Aisyiyah Yogyakarta dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Tri Dharma Perguruan Tinggi dalam lmplementasi Merdeka Belajar Kampus Merdeka serta Pemberdayaan Lulusan.;02/01/2023;Dian;NULL
900/309/102.9/2023;Penting;Nota Dinas;Melaksanakan Tugas Dinas dalam rangka mendukung pelaksanaan pengelolaan barang dan anggaran di RSUD dr. Soedono Prov. Jatim Tahun Anggaran 2023;02/01/2023;Dian;TU
445/77001/102.9/2022;Penting;Lain-lain;Penyampaian Usulan PPKom, Pejabat Pengadaan dan Tim Teknis RSUD dr. Soedono Provinsi Jawa Timur;30/12/2022;Dian;NULL
445/76.696/102.9/2022;Penting;Lain-lain;Penyampaian Usulan Pengelola  Keuangan di RSUD dr.Soedono Provinsi Jawa Timur;28/12/2022;Dian;TU
445/76.529/102.9/2022;Penting;Surat Pengntar;Pengantar Perjanjian Kerja sama antara PT Jasa Raharja Perwakilan Madiun dengan RSUD dr.Soedono Madiun;28/12/2022;Dian;TU
445/74.534/102.9/2022;Segera;Lain-lain;Perpanjangan Perjanjian Kerja Sama;20/12/2022;Dian;TU
445/74.719/102.9/2022;Penting;Surat Pengntar;Pengantar Perjanjian Kerja Sama anatara RSUD dr.Soedono dengan Bank JATIM;20/12/2022;Dian;TU
RSSM/ND/UMM/399/102.9/2022;Penting;Nota Dinas;lmplementasi, Percepatan dan Peningkatan EPurchasing;12/12/2022;Dian;TU
445/70.135/102.9/2022;Penting;Surat Pengntar;Pengantar Perjanjian Kerja Sama Fakultas Kedokteran Universitas Brawijaya dengan RSUD dr.Soedono ;02/12/2022;Dian;TU
445/70.129/102.9/2022;Penting;Surat Pengntar;Pengantar Perjanjian Kerja Sama  antara RSUD dr. Sayidiman Magetan dengan RSUD dr. Soedono Provinsi Jawa Timur;02/12/2022;Dian;TU
445/69.873/102.9/2022;Penting;Surat Pengntar;Pengantar Perjanjian Kerja Sama antara PT Swakarya Sinar Sejahtera dengan RSUD dr. Soedono Provinsi Jawa Timur;01/12/2022;Dian;TU
445/ 69.181 /102.9/2022;Penting;Lain-lain;Evaluasi, Identifikasi/ Pemetaan Kerja Sama Daerah;30/11/2022;Dian;TU
RSSM/ND/UMM/319/2022;Penting;Nota Dinas;Hari Libur Nasional dan Cuti Bersama Tahun 2023;23/11/2022;Dian;TU
RSSM/ND/UMM/317/2022;Penting;Nota Dinas;Pelaksanaan Apel Virtual Hari Rabu 23 November 2022 dan Penggunaan Seragam selama Kegiatan Survei Akreditasi;22/11/2022;Dian;TU
445/67006/102.9/2022;Penting;Surat Permohonan;Permohonan lzin untuk Tidak Mengikuti Kegiatan Perkuliahan;21/11/2022;Dian;TU
445/67015/102.9/2022;Penting;Surat Balasan;Jawaban Surat Undangan Pelantikan Mabi dan Pimsaka SHB Jawa Timur;21/11/2022;Dian;TU
RSSM/ND/UMM/316/2022;Penting;Nota Dinas;Peniadaan Apel Virtual dan Senam;21/11/2022;Dian;TU
RSSM/ND/UMM/305/2022;Penting;Nota Dinas;Tindak Lanjut Keluhan Pelanggan / Pasien terkait Pengantar Makanan/Pedagang Keliling/Penjual Makanan di Lingkungan RSUD dr. Soedono;15/11/2022;Dian;TU
445/64.899/102.9/2022;Biasa;Surat Permohonan;Permohonan Surat Keterangan Sakit;15/11/2022;Dian;TU
RSSM/ND/UMM/306/2022;Penting;Nota Dinas;Rencana Tindak Lanjut Hasil Capaian Program Komite Pencegahan Pengendalian lnfeksi (PPl) TW lll;15/11/2022;Dian;TU
RSSM/ND/UMM/304/2022;Penting;Nota Dinas;Telaah Pengajuan Kerjasama PT. Admedika;15/11/2022;Dian;TU
RSSM/ND/UMM/302/2022;Penting;Nota Dinas;Tindak Lanjut Keluhan Pelanggan / Pasien terkait Sikap dan Perilaku Pegawai RSUD dr. Soedono;15/11/2022;Dian;TU
445/64.918/102.9/2022;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSUD Kota Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Rujukan Lanjutan.;15/11/2022;Dian;TU
RSSM/ND/UMM/262/2022;Penting;Nota Dinas;Netralisasi ASN dalam Pelaksanaan Pemilihan Umum dan Pemilihan Tahun 2024;11/11/2022;Dian;TU
RSSM/ND/UMM/260/2022;Penting;Nota Dinas;Peningkatan Pengawasan Kekarantinaan Corona Virus Disease2019 (Covid19) Varian Omicron Sub Varian XBB;10/11/2022;Dian;TU
RSSM/ND/UMM/261/2022;Penting;Nota Dinas;Mekanisme Rujukan Pemeriksaan Sampel Panel Patogen dan Toksikologi Kasus GGAPA pada Anak;10/11/2022;Dian;TU
RSSM/ND/UMM/258/2022;Penting;Nota Dinas;Pembatalan Upacara Peringatan Hari Pahlawan Ke77 Tahun 2022 di halaman parkir Rawat Jalan Soedono;09/11/2022;Dian;TU
445/63512/102.9/2022;Penting;Surat Balasan;Jawaban Permohonan Peserta Pameran Kesehatan HKN;09/11/2022;Dian;TU
RSSM/ND/UMM/256/2022;Penting;Nota Dinas;Perkembangan Pelayanan Sedian Sirup Obat;09/11/2022;Dian;TU
